set search_path to data, rawdata, public;
select sum(cnt) as sum, sum(cnt)::float/2250481.0 as pct, inclass from (
  select name, cnt, string_agg(word, '|' order by seq) as words,
         string_agg(inclass, '|' order by seq) as inclass
    from ( select clean_placenames(l_placenam) as name, count(*) as cnt
          from rawdata.roadseg
          where l_placenam not in ('None','Unknown')
          group by name) as a,
         as_config as cfg,
"48"    "2.13287737154857e-05"  "WORD|WORD|WORD|WORD|NUMBER|WORD,SINGLE"
"48"    "2.13287737154857e-05"  "WORD,TYPE|WORD,TYPE|WORD|WORD"
"41"    "1.8218327548644e-05"   "WORD,DIRECT|WORD|WORD,DIRECT|WORD,DIRECT|WORD"
"40"    "1.77739780962381e-05"  "WORD|WORD,DOUBLE|WORD,TYPE|WORD|NUMBER"
"37"    "1.64409297390202e-05"  "WORD,TYPE|WORD|WORD,SINGLE|WORD|WORD"
"36"    "1.59965802866143e-05"  "WORD,TYPE|WORD,TYPE|NUMBER|WORD,SINGLE"
"36"    "1.59965802866143e-05"  "WORD|WORD|WORD|WORD|WORD,DIRECT"
"36"    "1.59965802866143e-05"  "WORD|WORD|WORD|WORD|WORD"
"36"    "1.59965802866143e-05"  "WORD,DIRECT|WORD,TYPE|WORD,SINGLE|WORD"
"35"    "1.55522308342083e-05"  "WORD|WORD|WORD,TYPE|WORD|NUMBER|WORD,SINGLE"
"33"    "1.46635319293964e-05"  "WORD|WORD,DOUBLE|WORD|WORD|WORD|NUMBER"
"33"    "1.46635319293964e-05"  "WORD|WORD,DOUBLE|WORD,TYPE"
"32"    "1.42191824769905e-05"  "WORD|WORD|WORD|WORD|WORD|WORD|WORD"
"29"    "1.28861341197726e-05"  "WORD|WORD,TYPE|WORD|NUMBER|NUMBER"
"29"    "1.28861341197726e-05"  "DIRECT|WORD,TYPE|WORD,TYPE|WORD"
"29"    "1.28861341197726e-05"  "DIRECT|WORD,TYPE|WORD,DOUBLE|WORD|WORD,TYPE"
"28"    "1.24417846673667e-05"  "WORD,DOUBLE|WORD,DOUBLE|WORD,SINGLE|WORD,TYPE"
"27"    "1.19974352149607e-05"  "WORD|WORD|WORD,TYPE|WORD,DOUBLE|WORD"
"27"    "1.19974352149607e-05"  "WORD|WORD,TYPE|WORD|NUMBER|WORD,SINGLE|WORD|WORD,TYPE|WORD|WORD|NUMBER|WORD,SINGLE"
"26"    "1.15530857625548e-05"  "WORD,TYPE|WORD|WORD|WORD,TYPE|WORD,TYPE|WORD|WORD,SINGLE"
"25"    "1.11087363101488e-05"  "WORD,TYPE|WORD|WORD,DIRECT"
"24"    "1.06643868577429e-05"  "WORD|WORD,SINGLE|WORD,TYPE|NUMBER"
"24"    "1.06643868577429e-05"  "WORD,TYPE|WORD,TYPE|DIRECT|WORD|WORD|WORD,TYPE"
"23"    "1.02200374053369e-05"  "DIRECT|WORD,TYPE|WORD,DOUBLE|WORD"
"22"    "9.77568795293095e-06"  "WORD|WORD,PROV|NUMBER"
"20"    "8.88698904811905e-06"  "DIRECT|WORD,DIRECT|WORD,TYPE"
"20"    "8.88698904811905e-06"  "WORD|WORD,SINGLE|NUMBER|WORD,SINGLE"
"20"    "8.88698904811905e-06"  "WORD,DIRECT|WORD,TYPE|WORD,TYPE|WORD"
"18"    "7.99829014330714e-06"  "DIRECT|WORD,TYPE|WORD|DIRECT|DIRECT|WORD,TYPE|WORD"
"18"    "7.99829014330714e-06"  "WORD|WORD|WORD,SINGLE|WORD,TYPE|WORD"
"17"    "7.55394069090119e-06"  "WORD|WORD,SINGLE|WORD,TYPE|WORD|NUMBER"
"15"    "6.66524178608928e-06"  "WORD|WORD,SINGLE|WORD,TYPE|NUMBER|WORD,SINGLE"
"15"    "6.66524178608928e-06"  "WORD,TYPE|WORD|WORD|WORD,TYPE|WORD"
"14"    "6.22089233368333e-06"  "WORD|WORD|WORD,TYPE|DIRECT"
"12"    "5.33219342887143e-06"  "WORD|WORD,TYPE|WORD,TYPE|WORD|NUMBER|WORD,SINGLE"
"12"    "5.33219342887143e-06"  "WORD|WORD,SINGLE"
"12"    "5.33219342887143e-06"  "WORD|WORD|WORD,TYPE|WORD,DIRECT"
"11"    "4.88784397646548e-06"  "WORD|WORD,SINGLE|WORD,DOUBLE|WORD|WORD,TYPE"
"11"    "4.88784397646548e-06"  "DIRECT|WORD,TYPE|WORD|WORD,TYPE"
"10"    "4.44349452405952e-06"  "WORD,TYPE|WORD,TYPE|DIRECT"
"10"    "4.44349452405952e-06"  "WORD|WORD|WORD,TYPE|NUMBER,QUAD"
"10"    "4.44349452405952e-06"  "WORD|WORD|WORD,TYPE|NUMBER|WORD,SINGLE"
"10"    "4.44349452405952e-06"  "WORD|WORD,TYPE|DIRECT|WORD,TYPE"
"8" "3.55479561924762e-06"  "WORD,DIRECT|WORD,TYPE|WORD,DOUBLE|WORD|WORD,TYPE"
"8" "3.55479561924762e-06"  "WORD|WORD,TYPE|WORD,SINGLE|WORD"
"7" "3.11044616684167e-06"  "WORD,TYPE|WORD|WORD,SINGLE|WORD,TYPE"
"7" "3.11044616684167e-06"  "WORD,TYPE|WORD|WORD|NUMBER|WORD,SINGLE"
"6" "2.66609671443571e-06"  "WORD,DIRECT|WORD|WORD|WORD,TYPE|WORD|WORD,TYPE"
"5" "2.22174726202976e-06"  "WORD,DIRECT|WORD,TYPE|WORD|WORD,TYPE"
"5" "2.22174726202976e-06"  "WORD,DOUBLE|WORD,DOUBLE|WORD"
"4" "1.77739780962381e-06"  "WORD,TYPE|WORD,TYPE|WORD|NUMBER"
"4" "1.77739780962381e-06"  "WORD,TYPE|WORD,TYPE|WORD|WORD,DIRECT"
"4" "1.77739780962381e-06"  "WORD,DIRECT"
"4" "1.77739780962381e-06"  "WORD,DOUBLE|WORD|WORD|WORD|WORD|NUMBER|WORD,SINGLE"
"4" "1.77739780962381e-06"  "WORD,SINGLE|WORD|WORD|WORD,TYPE"
"4" "1.77739780962381e-06"  "WORD|SLASH|WORD|WORD|WORD|WORD,TYPE"
"4" "1.77739780962381e-06"  "WORD,DIRECT|WORD,TYPE|WORD,TYPE|WORD|DIRECT|WORD,TYPE"
"3" "1.33304835721786e-06"  "WORD|WORD,TYPE|WORD|WORD|WORD,TYPE"
"2" "8.88698904811905e-07"  "WORD,TYPE|WORD|WORD|WORD,TYPE|WORD,TYPE|WORD"
"2" "8.88698904811905e-07"  "WORD,DIRECT|WORD|WORD,TYPE|WORD,TYPE"
"1" "4.44349452405952e-07"  "WORD|WORD|WORD|WORD|WORD|WORD,TYPE"
"1" "4.44349452405952e-07"  "WORD|WORD|NUMBER|NUMBER"
"1" "4.44349452405952e-07"  "WORD,TYPE|WORD,DOUBLE|WORD|WORD"
"1" "4.44349452405952e-07"  "WORD|WORD,TYPE|WORD,DIRECT|WORD|WORD,TYPE"
"1" "4.44349452405952e-07"  "WORD|WORD|WORD,SINGLE|WORD|WORD|WORD|WORD|WORD|NUMBER"

